

Day 1
ability  n. 能力；才能                
magic  a. 有魔力的 
mainland  n. 大陆 
male  a. 男（性）的；雄的 

Day44
manage  v. 管理；设法对付 
mankind  n. 人类;（总称）人 
march  n. 游行，行进 v.齐步走；行进；前进
master  vt. 精通，掌握 
mat  n. 垫子 
mathematics =math / maths  n.（常作单数用）数学, (英美口语) 数学 
medal  n. 奖牌 
mend  v. 修理，修补 
menu  n. 菜单 
mercy  n. 怜悯 
merry  a. 高兴的，愉快的 
metre (美meter)  n. 米，公尺 
midnight  n. 午夜 
mild  a. 温和,暖和的,凉爽的
millimetre n.毫米
millionaire  n. 百万富翁 
minibus  n. 小型公共汽车 
minus  prep. & a.负的，减去的 
missile  n 导弹 
misunderstand (-stood, -stood)  v. 误会；不理解 
modem  n. 调制解调器 
modern  a. 现代的
modest  a. 谦虚的；谦逊的 
mommy = mummy  n. 妈妈（美） 
monitor  n. （班级内的）班长；纠察生；监视器 vt. 监控
monkey  n. 猴子 
moral  a.道德的 n.寓意,道德启示 
Mosquito  n.蚊子 
motherland  n. 祖国 
motorcycle  n. 摩托车 
mouse (复mice)  n. 鼠，耗子；（计算机）鼠标 
moustache    n. 小胡子 
mud  n. 泥, 泥浆 
muddy  a. 泥泞的 
multiply  vt. 乘；使相乘 
museum  n. 博物馆，博物院 

Day45
mushroom  n. 蘑菇 
mutton  n. 羊肉 
nail  n. 钉，钉子 
nationality  n. 国籍 
native  a. 本土的，本国的 
necklace  n. 项链 
needle  n. 针 
nephew  n. 侄子，外甥 
nest  n. 巢；窝 
niece  n. 侄女，甥女 
nod  vi. 点头 
noise  n. 声音，噪声，喧闹声 
noisy  a. 喧闹的，嘈杂的 
noodle  n. 面条 
noon  n. 中午，正午 
notebook  n. 笔记簿 
novel  n. （长篇）小说 
nursery  n. 托儿所 
nut  n.坚果,果仁(胡桃,栗子等)
obey  v. 服从，顺从，听从 
observe v. 观察，监视，观测 
ocean n. 海洋 
Oceania* n. 大洋洲 
oh  int. 哦！啊！ 
Olympic(s)  a. & n. 奥林匹克 
oneself pron. 自己；自身 
onion n. 洋葱；洋葱头 
operator  n. 接线员 
oral  a. 口述的，口头上的 
outdoors ad. 在户外, 在野外 
outer a. 外部的，外面的 
outgoing a. 爱交际的,外向的
outing n. 郊游，远足 
outline  n. 概述，略述
overcoat  n. 大衣 
overcome  v. 克服，解决
ox (复oxen)  n. 牛；公牛 

Day46
oxygen  n. 氧；氧气 
pace  n. 步子；节奏 
Pacific a. 太平洋的 
pack  n. 包,捆;（猎犬、野兽的）一群 v.(为运输或储存而)打包 
painful  a. 使痛的，使痛苦的 
painter  n. 绘画者,（油）画家 
palace  n. 宫，宫殿 
panda  n. 熊猫 
parcel  n. 包裹 
pardon  n. 原谅,宽恕,对不起 
parking  n. 停车 
parrot  n. 鹦鹉 
part-time  a.& ad. 兼职的； 部分时间的（地） 
passenger  n. 乘客，旅客 
patience n. 容忍；耐心 
P.C.(缩) =personal computer 个人电脑 
P.E.(缩) =physical education 体育 
pea n. 豌豆 
peach  n. 桃子 
pear n. 梨子，梨树 
penny  (英复pence) n. （英）便士；美分 
pepper  n. 胡椒粉 
personally  ad. 就自己而言 
pet  n. 宠物，爱畜 
petrol  n. 石油 
physician  n.(有行医执照的)医生 
physicist  n. 物理学家 
physics  n. 物理（学） 
picnic  n.& v. 野餐 
pie  n. 甜馅饼 
pig  n. 猪 
pillow  n. 枕头 
pilot  n. 飞行员 
pine  n. 松树 
pineapple  n. 菠萝 
ping-pong n. 乒乓球 
pink a. 粉红色的 
pioneer  n. 先锋，开拓者 

Day47
pipe n. 管子，输送管 
pity  n. 怜悯，同情 
plain  a. 家常的； 普通的 
planet  n. 行星 
platform  n. 讲台,(车站的)月台 
playground n. 操场，运动场 
pleasant  a. 令人愉快的，舒适的
plus  prep.加，加上 n.正号，加号；优势，有利条件
p.m./pm, P.M. /PM  n. 下午,午后 
poem  n. 诗 
poet  n. 诗人
polite  a. 有礼貌的,有教养的 
pond  n. 池塘 
pop = popular  a. (口语) （音乐、艺术等）大众的，通俗的 
popcorn  n. 爆米花 
pork  n. 猪肉 
post  n. 邮政，邮寄，邮件 v. 投寄； 邮寄 
postage  n. 邮费 
postcard  n. 明信片 
postcode  n. （英）邮政编码 
postman  n. 邮递员 
potato  n. 土豆，马铃薯 
powder  n. 粉，粉末 
praise  n.& vt.赞扬，表扬 
pretend  vi. 假装，装作 
preview  vt. 预习;试演;预展 
pride  n. 自豪，骄傲 
pronounce  vt. 发音 
pronunciation  n. 发音 
proud  a. 自豪的；骄傲的 
province  n. 省 
pub  n. 酒店，酒吧 
pump  v. 用泵抽出或压入（气体、液体）；（心脏）跳动 
punish  v. 惩罚，处罚 
punishment  n. 惩罚 
pupil  n. （小）学生 
purple  n. / a. 紫色 （的）
purse  n. 钱包 

Day48
puzzle  n. 难题,（字、画）谜 
quantity  n. 量，数 
quarrel  vi. 争吵，吵架 
quiz  n. 测验，小型考试 
rabbit  n. 兔，家兔 
raincoat  n. 雨衣 
rainy  a. 下雨的；多雨的 
rapid  a. 快的，迅速的 
rat  n. 老鼠 
react  v. 回应，过敏，起物理，化学反应 
receipt  n. 收据 ；收到
receiver  n. 电话听筒 
recover  vi. 痊愈；恢复 
recycle  vt. 回收；再循环 
refrigerator  n. 冰箱 
reliable  a. 可信赖的，可依靠的
remote  a. 偏远的，偏僻的
repair  n.& vt. 修理；修补 
reporter  n. 记者，新闻通讯员 
republic  n. 共和国 
retell  vt. 重讲，重复，复述 
revision  n. 复习，温习 
revise vt. 修正；复习；校订 n. 修订；校订
reward  n. 奖赏 
rice  n. 稻米；米饭 
riddle  n. 谜(语) 
roast  v. 烤（肉） 
robot  n. 机器人 
rocket n. 火箭 
rose  n. 玫瑰花 
rubber  n. 橡胶； 合成橡胶 
rubbish  n. 垃圾； 废物 
rude  a. 无理的, 粗鲁的 
ruler  n. 统治者；直尺 
sailor  n. 水手，海员 
salad  n. 色拉（西餐中的一种菜） 
salary  n. 薪金，薪水 
salt  n. 盐 
salty  a. 盐的，咸的，含盐的 
sandwich  n.三明治（夹心面包片） 

Day49
satellite  n. 卫星 
satisfaction  n. 满意 
sausage  n. 香肠，腊肠 
saying  n. 说，俗话，谚语 
scan  v. 略读，浏览，扫描
scarf  n. 领巾，围巾 
scenery  n. 风景，景色，风光
schedule  n. 工作计划，日程安排v. 安排时间，预定 
scholar  n. 学者 
scholarship  n. 奖学金 
schoolbag  n. 书包 
schoolboy n.（中、小学）男生
schoolmate  n. 同校同学 
scissors  n. 剪刀，剪子 
scream  n. 尖叫 
screen  n. 幕，荧光屏 
seaside  n. 海滨 
secure  a.安心的,有把握的,牢靠的 
seldom  ad. 很少，不常 
select  vt. 选择，挑选，选拔 
selfish  a. 自私的 
sensitive  a.体贴的,善解人意的
servant  n. 仆人，佣人 
settle  vi. 安家，定居 
sew (sewed, sewn 或sewed)  vi. 缝, 缝制；缝补；缝纫 
shade  n. 阴凉处，树荫处 
shallow  a. 浅的,不深的,肤浅的 
shame  n. 遗憾的事；羞愧 
shark  n. 鲨鱼 
shave (shaved, shaved 或 shaven) v. 刮（脸，胡子） 
sheep (复sheep) n. （绵）羊；羊皮；驯服者 
shine  n. 光泽；光彩；阳光；晴天；光(亮) 
shine (shone, shone 或-d, -d)  v. 发光；照耀；杰出；擦亮 
shock  vt. 使震惊 
shopkeeper  n. 店主，零售商人 
shore n. 滨，岸 
shortcoming  n. 缺点，短处 
shorts n. 短裤；运动短裤 
shower  n. 阵雨；淋浴 
shy  a. 害羞的 

Day50
sickness  n. 疾病 
sideroad (AmE sidewalk) n.人行道 
sigh vi.& n. 叹息；叹气 
sightseeing n. 游览，观光 
silk n. （蚕）丝，丝织品 
silly  a. 傻的，愚蠢的 
silver  n. 银 
sir n. 先生；阁下 
skate vi. 溜冰，滑冰 
ski n.& vi. 滑雪板；滑雪 
slave n. 奴隶 
sleeve  n. 袖子，袖套 
slide n.幻灯片,滑道 v.滑行,滑动 
soccer n.英式足球 
sock n. 短袜 
sofa n. （长）沙发 
solar a. 太阳的 
soldier  n. 士兵，战士 
solid  a. 结实的,固体的 n.固体 
soup  n. 汤 
sour a. 酸的，馊的 
southeast [?sa?θ'??s n. 东南 
southwest  n. 西南 
spaceship n. 宇宙飞船 
spare a. 空闲,多余的，剩余的 
sparrow n. 麻雀，雀型鸟类 
spell vt. 拼写 
spelling  n. 拼写，拼读 
spirit n. 精神 
splendid a. 灿烂的，辉煌的；（口语）极好的 
spoken  a. 口语的 
spokesman/ woman (pl. spokemen/ women)  n. 发言人
spoon  n. 匙, 调羹 
spy  n. 密探,间谍 v.侦探,刺探 
squirrel  n. 松鼠 
stadium  n. （露天）体育场 
stare  vi. 盯，凝视 
steak  n. 牛排，肉排，鱼排 
steam  n. 汽，水蒸气 

Day51
steel  n. 钢，钢铁 
steep  a. 险峻的； 陡峭的 
stove n. （供烹饪用的 ）火炉，煤炉，电炉 
straw  n. 稻草 
strawberry  n. 草莓 
stream  n. 小河；溪流 
strict  a. 严格的，严密的 
struggle  vi. 斗争 
suitcase  n.(旅行用)小提箱,衣箱 
sunlight  n. 日光，阳光 
sunny  a. 晴朗的;阳光充足的 
sunshine  n. 阳光 
super  a. 顶好的，超级的
supermarket  n. 超级市场 
supper  n. 晚餐，晚饭 
swallow  vt. 吞下；咽下 
sweat  n. 汗，汗水 
sweater n. 厚运动衫，毛衣 
sweep(swept,swept)   v. 扫除，扫 
swell (swelled, swollen)   v. 肿胀 
tale  n. 故事, 传说 
tap  n. (自来水煤气等的)龙头 ;轻拍，轻敲
tasty  a. 味道好的 
tea  n. 茶；茶叶 
teenager  n.（13～19岁的）青少年，十几岁的少年 

Day52
tennis  n. 网球 
tent  n. 帐篷 
theatre (美theater)    n. 剧场，戏院 
thief (复thieves)   n. 窃贼, 小偷 
thread  n. 线 
thunder  n.& v. 雷声，打雷 
thus  ad. 这样；因而 
tick  vt. 作记号 
tidy  a. 整洁的，干净的 vt. 弄整洁，弄干净 
tiger  n. 老虎 
timetable  n. （火车、公共汽车等）时间表；（学校）课表 
toast  v./ n. 烤 
tobacco  n. 烟草，烟叶 
toilet  n. 厕所 
tomato  n. 西红柿，番茄 
tomb  n. 坟墓 
ton  n. （重量单位）吨 
tooth (复 teeth)  n. 牙齿 
toothache  n. 牙痛 
toothbrush  n. 牙刷 
toothpaste  n. 牙膏 
towel  n. 毛巾 
translate  vt. 翻译 
translation  n. 翻译；译文 
translator  n. 翻译家，译者 
transport  n.& vt.运输
treasure  n. 金银财宝, 财富 
triangle  n.& adj.三角形;三角形的 
trick  n. 诡计，把戏 
trolley-bus  n. 无轨电车 
troop  n. 部队 
trousers  n. 裤子，长裤 
tutor  n. 家庭教师，私人教师，导师 
twin  n. 双胞胎之一 
typist  n. 打字员 
tyre (美tire)  n. 轮胎
ugly   a. 丑陋的；难看的

Day53
umbrella  n. 雨伞 
uncle  n. 叔,伯,舅,姑夫,姨父 
underground  a.地下的 n. 地铁 
universe  n. 宇宙 
upstairs  ad. 在楼上，到楼上 
vase  n. （花）瓶；瓶饰 
vast  a. 巨大的，广阔的 
VCD = versatile compact disk n. 影碟光盘 
vest  n. 背心，内衣 
vinegar  n. 醋 
violin  n. 小提琴 
visual  a. 视力的，视觉的
vocabulary  n. 词汇, 词汇表 
volcano   n. 火山
volleyball  n. 排球 
voyage  n. 航行，旅行
waist  n. 腰，腰部，腰围 
waiter  n. （餐厅）男服务员 
waiting -room  n.候诊室,候车室 
waitress  n. 女服务员 
wake (woke, woken)  v.醒来,叫醒 
wallet  n. (放钱,证件等的)皮夹 
walnut  n. 核桃，胡桃
wander  vi.漫游,游荡,漫步,流浪 
warn vt. 警告，预先通知 
washroom n. 洗手间；厕所
watermelon  n. 西瓜 
weakness  n. 软弱 
web  n. 网，网状物 
website  n. 网络 

Day54
weekday  n. 平日 ；工作日
whale  n. 鲸 
wheat  n. 小麦 
whenever  conj. 每当，无论何时 
whisper  v. 低语，私下说 
whistle  n. 口哨，口哨声 
widespread  a.分布广的,普遍的 
wild  a. 未开发的，荒凉的；野生的，野的 
(wildly adv. 野蛮地，极烈地）
（wilderness n. 荒漠，植物丛生的地方）
wildlife  n. 野生动物 
windy  a. 有风的，多风的 
winter  n. 冬天，冬季 
wire  n. 电线 
wisdom  n. 智慧 
wise  a. 聪明,英明的,有见识的 
wolf（复wolves）  n. 狼 
worm  n. 软体虫,蠕虫(尤指蚯蚓)
worn  a. 用坏,用旧的,疲惫的 
worried  a. 担心的，烦恼的 
wound  vt.伤,伤害 n.创伤,伤口 
wrist  n. 手腕，腕关节 
X-ray  n. X射线；X光 
yoghurt  n. 酸奶 
yummy  a. 很好吃的 
zebra  n. 斑马 
zero  n. & num.零,零度,零点 
zip  v.& n.拉开(或扣上)……的拉链；拉链 
zoo  n. 动物园

Day 55
abandon   v.抛弃，舍弃，放弃                   
abnormal  a. 反常的，变态的
abolish  v. 废除，废止
abortion  v. 人工流产，堕胎
abrupt  a. 突然的，意外的，粗鲁
absolute  a. 完全的，绝对的
abstract  a. 抽象的  n.摘要
absurd  a.荒谬的，怪诞不经的
abundant  a.大量,丰盛的,充裕的
abuse  v.（酗酒）滥用,虐待,辱骂
academy  n.专科学院,学会，研究院
accelerate  v.（使）加速，促进
accessible  a. 可到达的，可接受的，易相处的）
accompany  v. 陪同，陪伴，与…同时发生
accomplish  v. 完成
accountant  n. 会计，会计师
accumulate  v. 积累，积聚
accuracy  n. 准确，精确
accustomed  a. 习惯于,惯常的
acknowledge  v. 承认
acquaintance  n. 熟人，（与某人）认识
acquire  v. 获得，得到
acquisition  n. 获得，得到
acute a.敏锐的，严重的,（病）急性的
adapt  v. 使适应，适合，改编
adaptation  n. 适应，改编本
addicted  a. 上瘾，成瘾，入迷

Day56
adequate  a. 足够的，合格的
adjust  v.调整,适应
adjustment  n. 调整，适应
admirable  a.值得赞赏的,可钦佩的
admission  n. 准入, 接纳，入场费
adolescence  n. 青春，青春期
adolescent  n. 青少年
adopt  v. 收养，采用
adore  v.（不用于进行时）热爱，崇拜某人
advocate  v. 拥护，支持，提倡
affection  n. 喜爱，钟爱
agency  n. 代理机构
agenda  n. （会议）议程表，议事日程
agent  n. 代理人，经纪人
aggressive  a. 侵略的，咄咄逼人的，有进取心的
agricultural  a. 农业的 
agriculture  n. 农业，农学 
album  n. 相册，影集，集邮簿
alcoholic  a. / n. 含酒精的，酒鬼
algebra  n. 代数
alley  n. 小巷，胡同
allocate  v. 拨给,划归,分配…给
allowance  n. 津贴，补助
alongside  ad.在…旁边,与…同时
altitude  n. 海拔高度
aluminium  n. （化）铝
amateur  a. 业余的

Day57
ambiguous  a. 模棱两可的
ample  a. 足够的，丰裕的
amuse  vt. （使人）快乐，逗乐 
acchor n. /v.  锚，抛锚，使固定
anecdote  n. 逸事，趣闻
anniversary  n. 周年纪念日
antique  n. 古董 
apparent  a. 显而易见的
appeal  v. 上诉，申诉，吸引力
appendix n. 附录，阑尾
appetite  n. 食欲，胃口
applaud  v. / n. 鼓掌,赞许,赞赏
approval n.赞成,同意
approve  v.赞成,同意,批准,通过
arbitrary  a. 随心所欲的，独裁的，专断的
arch  n. 拱，拱门
architecture n.建筑学，建筑设计，建筑风格
artificial a. 人工的，虚伪的
assess  v.评价,评定（性质,质量）
assessment  n. 看法，评价
assist v. 帮助，协助
assistance  n. 帮助，援助，支持
associate  v. 联想，联系，交往
assume  v. 假定，假设，承担
assumption  n. 假定，假设
astonish  vt. 使惊讶 

Day58
athletic  a. 健壮的,运动的
attain  v.（经过努力）获得,得到
attraction  n. 吸引，爱慕
authentic  a. 真正的，真品的
autonomous  a. 自治的，自主的
awesome  a.令人惊叹的,很困难的
awkward  a.令人尴尬,使人难堪的
bachelor  n. 未婚男子，单身汉
bacterium  (复bacteria) n. 细菌 
bake  v. 烤； 烘（面包） 
bakery  n. 面包店 
balcony  n. 阳台 
ballet  n. 芭蕾舞 
ban  n. 禁令 v. 禁止；取缔 
bandage  n. 绷带 
barber  n. （为男人理发）理发师 
barbershop n. 理发店 
bare  a. 裸露的，光秃秃的
barrier  n. 屏障，障碍，关卡
bay  n. 湾； 海湾 
beancurd  n. 豆腐 
behalf  n. 代表某人，为了某人
being  n. 物；生物；人 
belly  n. 肚子
beneficial  a. 有利的，有帮助的，有用的
betray  v.出卖,泄露（机密）,辜负
bid  v./ n. 出价，投标，向（某人）道别
bingo  n. 宾戈游戏

Day59
biochemistry n. 生物化学
biography  n. 传记
bishop  n. 主教
bless  vt. 保佑，降福
bond  n. /v. 纽带，联系，债券，使牢固
boom  n. / v. 繁荣，轰鸣，激增
booth  n.岗；（为某种用途而设的）亭或小隔间 
botanical  a. 植物学的
botany  n. 植物； 植物学 
bounce  v. 弹起，蹦，上下晃动
bound  a. 被束缚的；被绑的；有义务的  v.& n. 跳跃 
boundary  n. 边界，界限
bow  v.& n. 鞠躬，弯腰行礼，弓状物 
boycott  v. 拒绝购买，抵制
breakthrough  n. 重大进展，突破
brewery  n. 啤酒厂
brochure  n. 资料（或广告）手册 
brunch  n. 早午饭（晚早饭） 
Buddhism  n. 佛教 
buffet  n. 自助餐
bungalow  n. 平房
burden  n. （义务，责任的）重担，负担
bureaucratic   a. 官僚的
cab  n. （美）出租车 
cafeteria  n. 自助餐厅
campaign  n. 活动，运动，战役
canal  n. 运河；水道 

Day60
candidate  n. 候选人，申请人
capsule  n. （药）胶囊
caption  n. （图片，漫画等的）说明文字
carbon  n. 碳 
carrier  n. 搬运者；媒介;（自行车等的）置物架；（车的）货架 
carve  vt.刻；雕刻
cast (cast, cast)  v. 扔，抛，撒 
casual a. 漫不经心的，不经意的，非正式的
catalogue   n. 目录
catastrophe  n. 灾难，灾祸，不幸事件
category  n. 类别，种类
cater  v. 提供饮食，迎合
Catholic  a. 天主教的
caution  n. 谨慎，小心，警告
champion  n. 冠军，斗争者 
chaos  n. 混乱，杂乱，紊乱
characteristic  a. 典型的，独特的
cheers  int. 干杯，(口)谢谢，再见
choir  n. 合唱团，教堂的唱诗班
choke  n. & v. 窒息 
chorus  n. 合唱曲，歌咏队
Christian  n. 基督教徒和天主教徒的总称 
circuit  n. 环形路线，电路
circulate  v. （液体或气体）环流，循环，传播
civilian  n. 平民，老百姓
clarify  v. 澄清，阐明
classify  v. 分类，归类

Day61
clay  n. 黏土，陶土
click  v. 点击（计算机用语） 
clumsy  a. 笨拙的，不灵巧的
coincidence  n. 巧合，巧事
comedy  n. 喜剧 
comfort  n. 安慰； 慰问 
command  n. & v. 命令 
commericial a.贸易的，商业的
communism  n. 共产主义 
communist  n. 共产主义者 a. 共产党的；共产主义的 
compass  n. 罗盘，指南针，圆规
compensate  v. 补偿，弥补
competence  n.能力,胜任,管辖权
compromise  v. 妥协,折中,让步
compulsory  a. 强制的,必须做的
concrete  a. 混凝土制的，具体的
condemn  v. 谴责，指责，宣判
confidential  a. 机密的，保密的
consume  v. 消耗，耗费（燃料，能量，时间等）
container  n. 容器 
contradict  v. 反驳，驳斥，批驳
contradictory   a.相互矛盾,对立的
contribute  v. 贡献。投稿
controversial  a.引起争论的,有争议的
conventional  a. 依照惯例的，习惯的
convey  v. 表达，传递（思想，感情等）

Day62
correspond  vi. 一致；与……相当；(与人)通信，有书信往来 
counter  n. 柜台，结账处 
crash  v. / n. 碰撞，撞击
criterion (pl. criteria)  n. 标准，准则，原则
crossing  n. 十字路口，人行横道 
cube  n. 立方体
cubic  a.立方体的，立方形的 
cuisine  n. 饭菜，佳肴
cure  n. & vt. 治疗；医好 
curious  a. 好奇的；奇异的 
cushion  n. 垫子 
customs  n. 海关，关税 
dam  n. 水坝，堰堤 
dash  v. & n. 快跑，冲刺，短跑 
dawn  n. 黎明，拂晓 
deadline  n.最后期限，截止日期
decoration  n.装饰，修饰
delete  v. 删去 
deliberately  ad.故意,蓄意,存心
delicate  a.易损的，易碎的
delight  n. 快乐；乐事 
departure  n. 离开，启程 
deposit  v. / n. 订金，押金，放下，放置，储存
desperate  a.（因绝望而）不惜冒险的，不顾一切的，拼命的
destination  n.目的地，终点
diagram  n. 图表，图样 
digest v.消化, 领会 

Day63
digital  a. .数字的，数码的 
dignity  n. 庄重，庄严，尊严。尊贵，高尚
dilemma  n. （进退两难的）窘境，困境
dimension n.量度，尺寸，面积，程度，范围
dioxide  n.二氧化物
diploma  n.毕业文凭；学位证书 
directory  n. 姓名地址目录 
disappoint vt. 使失望 
discourage  vt. （使）气馁；打消（做…的念头） 
discrimination  n. 歧视 
disgusting  a.极糟的，令人不快的，令人厌恶的
distribute  v. 分发，分配
disturbing  a. 令人不安的，引起恐慌的
diverse  v. 不同的，多种多样，形形色色的
dizzy  a. 头眩目晕的 
donate vt.捐赠，赠送
dot  n. 点，小点，圆点 
download  n.& v. 下载 
draft  n. / v. 草稿，草案，起草，草拟
drawback  n.缺点，不利条件
dull a. 阴暗的；单调无味 
dynamic  a.充满活力,精力充沛的
dynasty  n.王朝，朝代
eager  a. 渴望的，热切的 
ecology  n. 生态，生态学
edition n.（发行物的）版，版（本） 
electronic  a. 电子的 

Day64
elegant  a.文雅的,漂亮的,精美的
emperor  n. 皇帝 
enlarge vt. 扩大 
enquiry  n. 询问 
enterprise  n.公司，企，事业单位
entertainment  n. 娱乐
equip  vt. 提供设备；装备；配备 
erupt  v.（火山）爆发，喷发
evaluate  v.估值，评价，评估
evident  a.清楚的，显而易见的
evolution  n. 进化，演变
explicit  a.清楚明白,易于理解的
expose  vt. 揭露 
fade  vi. 褪色，（颜色）消退 
fancy a.花式；装饰的；奇特的
fantasy  n 幻想，梦想 
feast  n.盛宴，宴会，（宗教的）节日
ferry  n. 渡船 
fibre   (美fiber) n. 纤维质
finance n.资金，财政，财务
fingernail  n. 指甲 
fireworks  n. 焰火 
flee  (fled, fled) v. 逃走；逃跑 
flexible  a.灵活的，可变动的
float  vi. 漂浮，浮动 
fluency  n.（外语）流利，流畅
forbid  (forbade, forbidden) vt. 禁止，不许 

Day65
foresee  (foresaw, foreseen) vt.预见.预知 
forgetful  a. 健忘的，不留心的 
format  n.安排，计划，设计
fortnight  n. 十四日，两星期 
fortune  n. 财产；运气 
fountain  n. 喷泉 
fragile  a.易碎的，易损的
fragrant  a. 香的，芳香的
framework  n.（建筑物）框架，结构 
freezing  a. 冻结的；极冷的 
friction  n. 摩擦
frontier  n. 前沿 ，边界；前线 
funeral  n. 葬礼 
furnished   a. 配备了家具的 
gallery  n. 画廊；美术品陈列室 
gallon  n. 加仑 
garment  n. （一件）衣服
gay  a. （男）同性恋的；快活的，愉快的 
geometry  n. 几何学 
glance  vi. 匆匆一看；一瞥 
glare  v. 瞪眼,怒目而视,闪耀 
globe  n. 地球仪,地球 
govern  v. 统治；管理
gradually  ad. 逐渐地 
grand  a. 宏伟的 
graph  n. 图表，曲线图
grateful  a. 感激的，感谢的 

Day66
gravity  n. 重力，地球引力
greet  vt. 问候；向……致敬 
grill  n. （烧食物的）烤架
grocer  n. 零售商人；食品店 
guarantee  v. 保证，担保
haircut  n. 理发 
handful  n.(一)把；少数，少量 
handy  a. 便利的，顺手的
hardship  n. 困难 
harmony  n. 融洽，和睦
hatch  v. （鸟、鸡）孵蛋 
headline  n. （报刊的）大字标题 
helmet  n. 头盔 
herb  n. 草药 
hook  n.& v. 钩子；衔接，连接 
howl  vi. 嚎叫，嚎哭 
hurricane  n. 飓风，十二级风 
hydrogen  n. 氢
immigration  n. 移民 
import  v.& n. 进口，输入 
initial  a. 开始的，最初的 
inspire  vt. 鼓舞； 激励 
insure  vt. 给……保险 
interval  n. 间歇；间隔 
irrigation  n. 灌溉
jet  n. 喷气式飞机；喷射（器） 
jog  v. 慢跑 

Day67
jungle  n. 丛林，密林 
lame  a. 跛的，瘸的，残废的 
lantern  n. 灯笼；提灯 
latter  n.（两者之中的）后者 
laundry  n. 洗衣店;要洗的衣服 
liberty  n. 自由 
liberation  n. 解放 
librarian  n. 图书管理员；（西方的）图书馆馆长 
loaf  n. 一个面包 
lounge  n. 休息厅；休息室 
maid  n. 女仆；侍女 
maple  n. 枫树 
marathon  n. 马拉松 
marble  n. 大理石；玻璃弹子 
mature  a. 成熟的 
maximum  a.& n. 最大量(的)； 最大限度(的) 
meanwhile  ad. 同时 
medium  n.媒体,中间的,中等的 
melon  n. （甜）瓜；瓜状物 
memorial  n. 纪念馆 
merchant  a. 商业的；商人的 n. 商人；生意人 
merciful  a. 仁慈的；宽大的 
merely  ad. 仅仅，只不过 
mess  n. 凌乱 
messy  a. 乱七八糟的 
microscope  n. 显微镜 
microwave  n. 微波 

Day68
minimum  a.最小的 
minister  n. 部长；牧师 
ministry  n.（政府的）部 
mist  n. 雾 
mobile  a. 活动的，可移动的 
monument  n. 纪念碑，纪念物 
mop  n. / v. 拖把 拖地 
Moslem  n. 伊斯兰教徒,回教徒 
motivation  n. （做事的）动机 
motto  n. 箴言，格言 
mourn  vt. 哀痛； 哀悼 
mustard  n. 芥末，芥子粉 
nationwide  ad.全国范围内的,全国性的 
navy  n. 海军 
negotiate  v.谈判，协商 
noble  a. 高贵的，贵族的 
novelist  n. 小说家 
nowhere  ad.任何地方都不,无处 
numb  a. 麻木的，失去知觉的，迟钝的 
nutrition  n. 营养，滋养 
occupation  n. 职业，工作 
offence n. 违法行为，犯罪 
offshore a. 近海的 
opera n. 歌剧 
oppose  vt. 反对；反抗 
optional  a. 可选择的，选修的
orbit  n.（天体等的）运行轨道 

Day69
outcome  n. 结果，效果
outline  n. 概述，略述
output n. 产量，输出量
outspoken  a. 直率，坦诚
outstanding a. 优秀的，杰出的
outward(s)  ad. 向外的，外出的 
oval  n.& adj.椭圆；椭圆形的 
overhead  a.在头顶上;架空的 
overlook  v. 忽略,不予理会,俯视，眺望
overweight a. 太胖的,超重的
ownership n. 所有制 
packet  n. 小包裹，袋 
paddle  n. 桨状物，蹼 
pan  n. 平底锅 
pancake  n. 薄煎饼 
panic  a./ v.惊慌,恐慌,惶恐不安
paperwork  n. 日常文书工作
parallel n. 极其相似的人,纬线
participate  v. 参加，参与 
passer-by  n. 过客，过路人 
passport  n. 护照 
patent  n.专利权，专利证书 
pause  n.& vi. 中止，暂停；停止 
pedestrian  n. 步行者，行人 
perfume  n. 香水 
personnel  n. 全体人员，职员

Day70
pest  n. 害虫 
phenomenon (pl. phenomena)  n. 现象 
pianist  n. 钢琴家 
pile n. 堆 
pill  n. 药丸，药片 
pin  n. 别针 v. 别住, 钉住 
pint n.（液量单位）品脱 
plot  v. / n. 故事情节，密谋 
plug  n. 塞子，（电）插头 vt.（用塞子）把…塞住
poison  n. 毒药 
poisonous  a. 有毒的，致命的 
pole  n. 杆，电线杆； 
polish  v.擦亮 n.擦光剂,亮光剂 
porridge  n. 稀饭，粥 
portable  a.手提的，便携式的 
porter  n. （火车站或旅馆处的）搬运工 
poster  n. (贴在公共场所的大型)招贴；广告(画)
postpone  vt. 推迟，延期 
potential  a. 潜在的，可能的
pray  v. 祈祷；祈求 
prayer  n. 祈祷 
precious  a. 宝贵的, 珍贵的 
precise  a. 准确,精确的,确切的 
predict  v. 预言，预告，预报
preference  n. 选择，趋向 
pregnant  a. 怀孕的
prejudice  n. 偏见，成见

Day71
premier  n. 首相，总理 
preparation  n. 准备 
prescription  n. 处方，药方 
preserve  v.保护，保留，保存
press  vt.压,按 n.新闻界,出版社 
primitive  a. 原始的，远古的
privilege  特权，特殊待遇
procedure  n. 程序,手续,待遇
profession  n.（需要有高等教育学位的）职业（如医生或律师） 
prohibit  v. 禁止
psychology  n. 心理学 
pulse  n. 脉搏，（光、能量、波等的）脉动，搏动 
punctual  a. 准时的 
punctuation n. 标点符号 
purchase  v. 购买，采购 
pyramid  n. 角锥形，金字塔 
